"Filename","LineNumber","Line"
"diagnose_mcp.py","438","        print(f""\n  \033[93m{i}. {r.label}\033[0m"")"
"diagnose_mcp.py","440","            print(f""     Cause:  {r.root_cause}"")"
"diagnose_mcp.py","442","            print(f""     Fix:    {step}"")"
"diagnose_mcp.py","444","    print()"
"diagnose_mcp.py","447","    print(f""  {passing}/{len(all_results)} checks passed."")"
"diagnose_mcp.py","448","    print()"
"init_rule_engine_db.py","35","    print(f""Connecting to database: {database_url.replace(os.getenv('POSTGRES_PASSWORD', 'postgres'), '***')}"")"
"init_rule_engine_db.py","50","        print(""\nDropping existing tables (in dependency order)..."")"
"init_rule_engine_db.py","54","                print(f""  ✓ Dropped table: {table.name}"")"
"init_rule_engine_db.py","56","                print(f""  ✗ Error dropping table {table.name}: {e}"")"
"init_rule_engine_db.py","68","    print(""\nCreating Rule Engine tables..."")"
"init_rule_engine_db.py","72","            print(f""  ✓ Created/verified table: {table.name}"")"
"init_rule_engine_db.py","74","            print(f""  ✗ Error with table {table.name}: {e}"")"
"init_rule_engine_db.py","76","    print(""\nRule Engine database initialization complete!"")"
"inspect_graph.py","8","        print(f""Status: {resp.status_code}"")"
"inspect_graph.py","13","            print(f""Nodes: {len(nodes)}"")"
"inspect_graph.py","14","            print(f""Edges: {len(edges)}"")"
"inspect_graph.py","16","                print(""Sample Node:"", json.dumps(nodes[0], indent=2))"
"inspect_graph.py","18","                print(""Sample Edge:"", json.dumps(edges[0], indent=2))"
"inspect_graph.py","20","            print(resp.text)"
"inspect_graph.py","22","        print(e)"
"list_tables.py","24","print(""\n"" + ""=""*80)"
"list_tables.py","25","print(""PostgreSQL Tables Registered in SQLAlchemy"")"
"list_tables.py","26","print(""=""*80)"
"list_tables.py","31","    print(f""\n{i:2d}. {table.name}"")"
"list_tables.py","32","    print(f""    Columns: {len(table.columns)}"")"
"list_tables.py","37","        print(f""    Primary Key(s): {', '.join(pks)}"")"
"list_tables.py","42","        print(f""    Key Columns: {', '.join(key_cols)}, ... (+{len(table.columns)-5} more)"")"
"list_tables.py","44","        print(f""    Key Columns: {', '.join(key_cols)}"")"
"list_tables.py","46","print(f""\n{'='*80}"")"
"list_tables.py","47","print(f""Total Tables: {len(tables)}"")"
"list_tables.py","48","print(f""{'='*80}\n"")"
"plm_migration_pipeline.py","978","    print(json.dumps(result, indent=2, default=str))"
"reset_postgres_schema.py","100","    print(""Target DATABASE_URL:"", safe_url)"
"reset_postgres_schema.py","102","        print(""Target database:"", db_name)"
"reset_postgres_schema.py","103","    print(f""ORM tables to drop/recreate ({len(table_names)}):"", "", "".join(table_names) or ""(none)"")"
"reset_postgres_schema.py","105","        print(""Also dropping: public.soda_test_table (if exists)"")"
"reset_postgres_schema.py","109","            print("
"reset_postgres_schema.py","116","        print(""DRY RUN: no changes made."")"
"reset_postgres_schema.py","120","        print(""Refusing to run without --yes (destructive operation)."", file=sys.stderr)"
"reset_postgres_schema.py","134","    print(""OK: schema reset complete (tables recreated, data removed)."")"
"seed_induction_motor_plm.py","369","    print(f""  plm_parts:          {len(PLM_PARTS)} rows"")"
"seed_induction_motor_plm.py","382","    print(f""  plm_bom_items:      {len(PLM_BOM)} rows"")"
"seed_induction_motor_plm.py","398","    print(f""  sample_parts:       {len(SAMPLE_PARTS_DATA)} rows"")"
"seed_induction_motor_plm.py","410","    print(f""  sample_bill_of_materials: {len(SAMPLE_BOM_DATA)} rows"")"
"seed_induction_motor_plm.py","422","    print(f""  sample_test_results:{len(SAMPLE_TEST_DATA)} rows"")"
"seed_induction_motor_plm.py","428","    print(""Seeding Teamcenter PLM induction motor data…"")"
"seed_induction_motor_plm.py","432","        print(""Done."")"
"seed_pipeline_configs.py","124","            print(f""  File patterns already exist ({existing_count}). Skipping..."")"
"seed_pipeline_configs.py","159","    print(f""  Seeded {count} file patterns"")"
"seed_pipeline_configs.py","168","            print(f""  Pipeline templates already exist ({existing_count}). Skipping..."")"
"seed_pipeline_configs.py","293","    print(f""  Seeded {count} pipeline templates"")"
"seed_pipeline_configs.py","302","            print(f""  Search configs already exist ({existing_count}). Skipping..."")"
"seed_pipeline_configs.py","377","    print(f""  Seeded {count} search configurations"")"
"seed_pipeline_configs.py","386","            print(f""  Index configs already exist ({existing_count}). Skipping..."")"
"seed_pipeline_configs.py","464","    print(f""  Seeded {count} index configurations"")"
"seed_pipeline_configs.py","473","            print(f""  Neo4j schema configs already exist ({existing_count}). Skipping..."")"
"seed_pipeline_configs.py","508","    print(f""  Seeded {count} Neo4j schema configurations"")"
"seed_pipeline_configs.py","514","    print(""\n🌱 Seeding Pipeline Configurations to PostgreSQL..."")"
"seed_pipeline_configs.py","530","        print(f""\n✅ Seeding complete! Total items: {total}"")"
"test_libs.py","11","print(f""Python: {sys.version}"")"
"test_libs.py","87","print(""-"" * 40)"
"test_libs.py","88","print(""LIBRARY STATUS REPORT"")"
"test_libs.py","89","print(""-"" * 40)"
"test_libs.py","94","    print(f""{tag}{lib:<20}: {status}"")"
"test_libs.py","99","            print(f""         Fix: {hint}"")"
"test_libs.py","100","print(""-"" * 40)"
"test_libs.py","102","    print(f""{failures} library/libraries failed. Install missing packages with the Fix commands above."")"
"test_libs.py","105","    print(""All libraries OK."")"
"verify_auth_and_saga.py","201","    print(json.dumps(out, indent=2))"
"verify_index.py","16","            print(""Client failed to initialize."")"
"verify_index.py","22","        print(f""--- Checking Patterns: {target_indices} ---"")"
"verify_index.py","28","            print(f""Search Successful against '{target_indices}'"")"
"verify_index.py","29","            print(f""Hits: {res['hits']['total']['value']}"")"
"verify_index.py","32","                print(""WARNING: 0 docs match this pattern. Search will return empty results."")"
"verify_index.py","34","            print(f""Search FAILED: {e}"")"
"verify_index.py","37","        print(""\n--- Testing Search Router Logic Adjustment ---"")"
"verify_index.py","62","            print(f""Search for '{query_text}' hits: {res['hits']['total']['value']}"")"
"verify_index.py","64","                print(""SUCCESS: Found data in expanded search."")"
"verify_index.py","65","                print(""Source Index:"", res['hits']['hits'][0]['_index'])"
"verify_index.py","67","                print(""FAILURE: Still no hits."")"
"verify_index.py","69","            print(f""Search Error: {e}"")"
"verify_index.py","72","        print(f""Error: {e}"")"
"verify_neo4j.py","22","        print(""--- Connecting to Neo4j ---"")"
"verify_neo4j.py","24","        print(f""Status: {health['status']}"")"
"verify_neo4j.py","25","        print(f""Connected: {health['neo4j_connected']}"")"
"verify_neo4j.py","31","            print()"
"verify_neo4j.py","32","            print(""[FAIL] Neo4j connection failed."")"
"verify_neo4j.py","35","                print(""  Cause: Neo4j service is not running or unreachable at the configured URI."")"
"verify_neo4j.py","36","                print(""  Fix:   Start Neo4j locally:"")"
"verify_neo4j.py","37","                print(""           docker run -p 7474:7474 -p 7687:7687 -e NEO4J_AUTH=neo4j/password neo4j:5"")"
"verify_neo4j.py","38","                print(""  Fix:   Or verify NEO4J_URI in python_backend/.env points to a running instance."")"
"verify_neo4j.py","40","                print(""  Cause: Authentication failed. Neo4j rejected the username/password."")"
"verify_neo4j.py","41","                print(""  Fix:   Check NEO4J_USERNAME and NEO4J_PASSWORD in python_backend/.env."")"
"verify_neo4j.py","42","                print(""         Default credentials for Neo4j 5+ are neo4j / <chosen at first login>."")"
"verify_neo4j.py","44","                print(""  Cause: The NEO4J_URI hostname/IP cannot be resolved or routed."")"
"verify_neo4j.py","45","                print(""  Fix:   Check NEO4J_URI in python_backend/.env."")"
"verify_neo4j.py","46","                print(""         Example: NEO4J_URI=bolt://localhost:7687"")"
"verify_neo4j.py","48","                print(f""  Cause: {health.get('error') or health.get('message') or 'Unknown error'}"")"
"verify_neo4j.py","49","                print(""  Fix:   Check NEO4J_URI, NEO4J_USERNAME, NEO4J_PASSWORD in python_backend/.env."")"
"verify_neo4j.py","50","                print(""         Ensure Neo4j 5.x is running and bolt port 7687 is accessible."")"
"verify_neo4j.py","52","            print()"
"verify_neo4j.py","53","            print(""  Note:  Neo4j is OPTIONAL. The backend starts without it; only Graph RAG"")"
"verify_neo4j.py","54","            print(""         features are affected. Set NEO4J_URI= (empty) to suppress this warning."")"
"verify_neo4j.py","63","            print(f""\n[OK] Total Nodes: {count}"")"
"verify_neo4j.py","66","                print(""\n--- Node Labels ---"")"
"verify_neo4j.py","69","                    print(f""  Label: {record['l']} - Count: {record['c']}"")"
"verify_neo4j.py","71","                print(""\n--- Testing Search Query (GraphRAG) ---"")"
"verify_neo4j.py","74","                    print(f""[OK] Search result count: {res['result_count']}"")"
"verify_neo4j.py","76","                        print(f""     Answer: {res['answers'][0]}"")"
"verify_neo4j.py","78","                    print(f""[WARN] Graph Search Error: {e}"")"
"verify_neo4j.py","80","                print(""\n[INFO] Graph is empty. Import data to populate nodes."")"
"verify_neo4j.py","81","                print(""       See docs/ for data import instructions."")"
"verify_neo4j.py","87","        print(f""\n[FAIL] Unexpected error: {e}"")"
"verify_neo4j.py","89","            print(""  Cause: Neo4j is not running."")"
"verify_neo4j.py","90","            print(""  Fix:   docker run -p 7474:7474 -p 7687:7687 -e NEO4J_AUTH=neo4j/password neo4j:5"")"
"verify_neo4j.py","92","            print(""  Cause: neo4j Python driver not installed."")"
"verify_neo4j.py","93","            print(""  Fix:   pip install neo4j==5.25.0"")"
"verify_neo4j.py","95","            print(""  Fix:   Check NEO4J_URI/NEO4J_USERNAME/NEO4J_PASSWORD in python_backend/.env."")"
"verify_ollama.py","13","print(""Checking Ollama API connectivity..."")"
"verify_ollama.py","16","    print(f""[OK]  Ollama Server Status: {resp.status_code}"")"
"verify_ollama.py","18","    print(f""[FAIL] Ollama server not reachable: {e}"")"
"verify_ollama.py","19","    print()"
"verify_ollama.py","20","    print(""  Cause: Ollama is not running or is not installed."")"
"verify_ollama.py","21","    print(""  Fix:   Install Ollama from https://ollama.com/download"")"
"verify_ollama.py","22","    print(""         Then start it:  ollama serve"")"
"verify_ollama.py","23","    print(""         Or on Windows it auto-starts as a system tray app after install."")"
"verify_ollama.py","24","    print()"
"verify_ollama.py","25","    print(""  Note:  Ollama is OPTIONAL. Only multimodal/vision features require it."")"
"verify_ollama.py","29","print(""\nChecking available models via Python library..."")"
"verify_ollama.py","41","    print(f""Found {len(models_list)} models."")"
"verify_ollama.py","46","        print(f""  - {name}"")"
"verify_ollama.py","51","    print(""-"" * 30)"
"verify_ollama.py","53","        print(f""[OK]  Found vision-capable models: {', '.join(vision_models)}"")"
"verify_ollama.py","54","        print(""      Multimodal Vision features should WORK."")"
"verify_ollama.py","57","        print(""[FAIL] No vision-capable models found (llava, bakllava, moondream)."")"
"verify_ollama.py","58","        print()"
"verify_ollama.py","59","        print(""  Cause: Vision models have not been pulled into Ollama yet."")"
"verify_ollama.py","60","        print(""  Fix:   ollama pull llava"")"
"verify_ollama.py","61","        print(""         ollama pull llava:13b   (higher quality, needs ~8 GB VRAM)"")"
"verify_ollama.py","62","        print(""         ollama pull moondream   (lightweight alternative)"")"
"verify_ollama.py","63","        print()"
"verify_ollama.py","64","        print(""  Note:  Text-only LLM features still work if a text model is loaded."")"
"verify_ollama.py","68","    print(f""[FAIL] Error listing models: {e}"")"
"verify_ollama.py","69","    print(""  Fix:  Ensure Ollama is running:  ollama serve"")"
"verify_search_modes.py","17","            print(""OpenSearch client not available."")"
"verify_search_modes.py","20","        print(""\n--- 1. Checking Existence of Vector Indices ---"")"
"verify_search_modes.py","25","             print(f""Index pattern '{knn_pattern}' found NO match."")"
"verify_search_modes.py","27","             print(f""Index pattern '{knn_pattern}' matched: {[i['index'] for i in indices]}"")"
"verify_search_modes.py","29","        print(""\n--- 2. Checking Migration Index for Vector Fields ---"")"
"verify_search_modes.py","34","            # print(json.dumps(mapping, indent=2)) "
"verify_search_modes.py","44","                        print(f"" [FOUND] Vector field: {full_name} (type: knn_vector)"")"
"verify_search_modes.py","47","                        print(f"" [FOUND] Potential vector field name: {full_name} (type: {v.get('type', 'unknown')})"")"
"verify_search_modes.py","58","                print(f""No explicit vector/embedding fields found in '{migration_index}'."")"
"verify_search_modes.py","60","            print(f""Index '{migration_index}' does not exist."")"
"verify_search_modes.py","62","        print(""\n--- 3. Testing 'Vector Mode' Fallback (More-Like-This) ---"")"
"verify_search_modes.py","85","            print(f""MLT Fallback Hits: {len(hits)}"")"
"verify_search_modes.py","87","                print(f""Sample Hit: {hits[0]['_source'].get('record', {}).get('name') or hits[0]['_index']}"")"
"verify_search_modes.py","89","            print(f""MLT Fallback Failed: {e}"")"
"verify_search_modes.py","92","        print(""\n--- 4. Conclusion ---"")"
"verify_search_modes.py","94","            print(""True Vector Search (KNN): LIKELY WORKING (Target indices exist)."")"
"verify_search_modes.py","96","             print(""True Vector Search (KNN): NOT WORKING (Indicies missing)."")"
"verify_search_modes.py","97","             print(""Fallback Vector Sim (MLT): WORKING (Found data via 'More Like This')."")"
"verify_search_modes.py","99","             print(""Vector Search: NOT WORKING (Both KNN and MLT Fallback failed)."")"
"verify_search_modes.py","102","        print(f""Error: {e}"")"
"check_frontend_api_routes.py","95","        print(f""Frontend src not found: {frontend_src}"")"
"check_frontend_api_routes.py","144","    print(f""Backend routes: {len(backend_paths)}"")"
"check_frontend_api_routes.py","145","    print(f""Frontend /api literals found: {len(occurrences)}"")"
"check_frontend_api_routes.py","146","    print(f""Missing routes: {len(missing)}"")"
"check_frontend_api_routes.py","150","            print(f""\nMISSING {path}"")"
"check_frontend_api_routes.py","153","                print(f""  - {rel}:{occ.line}"")"
"dump_routes.py","36","        print(f""{methods} {path}"")"
"smoke_create_soda_table.py","29","    print(""OK created/seeded public.soda_test_table"")"
"smoke_soda_scan_debug.py","26","        print(body)"
"smoke_workflow_api.py","35","            print(""No workflows returned from /api/workflows"")"
"smoke_workflow_api.py","40","            print(""First workflow missing id field"")"
"smoke_workflow_api.py","43","        print(""workflow_id"", workflow_id)"
"smoke_workflow_api.py","55","        print(""start_resp"", do(""start""))"
"smoke_workflow_api.py","58","        print(""after_start"", wf.get(""status""), wf.get(""current_stage""), wf.get(""progress_percentage""))"
"smoke_workflow_api.py","60","        print(""pause_resp"", do(""pause""))"
"smoke_workflow_api.py","63","        print(""after_pause"", wf.get(""status""), wf.get(""current_stage""), wf.get(""progress_percentage""))"
"smoke_workflow_api.py","65","        print(""resume_resp"", do(""resume""))"
"smoke_workflow_api.py","68","        print(""after_resume"", wf.get(""status""), wf.get(""current_stage""), wf.get(""progress_percentage""))"
"smoke_workflow_api.py","70","        print(""cancel_resp"", do(""cancel""))"
"smoke_workflow_api.py","73","        print(""after_cancel"", wf.get(""status""), wf.get(""current_stage""), wf.get(""progress_percentage""))"
"smoke_workflow_api.py","83","        print(f""HTTPError {e.code}: {e.reason} body={body}"")"
"smoke_workflow_api.py","86","        print(f""URLError: {e}"")"
"smoke_workflow_api.py","89","        print(f""Error: {e}"")"
"verify_import_folder.py","95","        print(f""ERROR: Not a directory: {root}"")"
"verify_import_folder.py","106","            print(f""ERROR: exceeded --limit-files={args.limit_files}; aborting scan"")"
"verify_import_folder.py","113","    print(f""Path: {root}"")"
"verify_import_folder.py","114","    print(f""Recursive: {bool(args.recursive)}"")"
"verify_import_folder.py","115","    print(f""Files scanned: {total_files}"")"
"verify_import_folder.py","116","    print(f""Total size: {_human_bytes(total_bytes)}"")"
"verify_import_folder.py","119","        print(""No files found."")"
"verify_import_folder.py","124","    print(""\nTop extensions by count (Pareto):"")"
"verify_import_folder.py","130","        print(f""- {ext:10s}  {n:8d}  ({pct:5.1f}%)  cumulative {cum:5.1f}%  bytes {_human_bytes(ext_bytes[ext])}"")"
"verify_import_folder.py","134","    print(""\nTop extensions by total bytes:"")"
"verify_import_folder.py","136","        print(f""- {ext:10s}  {_human_bytes(b)}  (count {ext_counts.get(ext, 0)})"")"
"verify_lineage.py","58","                print(""No workflows returned from /api/workflows"")"
"verify_lineage.py","63","            print(""workflow_id not provided and not found"")"
"verify_lineage.py","66","        print(""workflow_id"", workflow_id)"
"verify_lineage.py","79","            print(""start_resp"", execute(""start""))"
"verify_lineage.py","83","                print(""start_resp"", ""skipped (already running)"")"
"verify_lineage.py","99","            print(""No migration_session_id found in workflow.execution_metadata"")"
"verify_lineage.py","103","        print(""migration_session_id"", migration_session_id)"
"verify_lineage.py","104","        print(""mig_node_id"", mig_node_id)"
"verify_lineage.py","112","                print(""SKIP: Neo4j not available (503 from lineage endpoints)"")"
"verify_lineage.py","114","            print(http_error_detail(e))"
"verify_lineage.py","121","        print(""lineage_graph_nodes"", len(nodes))"
"verify_lineage.py","122","        print(""lineage_graph_relationships"", len(rels))"
"verify_lineage.py","123","        print(""lineage_graph_has_mig_node"", bool(has_mig_node))"
"verify_lineage.py","133","                print(""SKIP: Neo4j not available (503 from lineage endpoints)"")"
"verify_lineage.py","135","            print(http_error_detail(e))"
"verify_lineage.py","141","        print(""trace_nodes"", len(trace_nodes))"
"verify_lineage.py","142","        print(""trace_relationships"", len(trace_relationships))"
"verify_lineage.py","145","            print(""FAIL: migration node missing from workflow lineage graph"")"
"verify_lineage.py","148","            print(""FAIL: trace returned no nodes"")"
"verify_lineage.py","151","        print(""OK: lineage auto-capture verified"")"
"verify_lineage.py","155","        print(http_error_detail(e))"
"verify_lineage.py","158","        print(f""URLError: {e}"")"
"verify_lineage.py","161","        print(f""Error: {e}"")"
